10000 10000
u 6261 4948
u 745 6848
u 7490 8543
u 1261 5044
q 9063 6493
u 7353 5654
u 2875 8573
u 2196 5617
u 9214 4059
u 6374 9177
u 7971 1269
q 9095 3836
u 5121 2374
u 9470 3004
q 3424 2745
u 4903 2971
u 7764 6087
u 6127 7950
u 2197 9442
u 4084 1635
u 6532 6153
u 9410 3145
u 9430 9949
q 5125 2701
q 2659 341
u 3102 8835
u 497 2858
u 3767 8627
u 2936 3940
u 6386 9725
u 3706 8692
u 8274 7043
u 1413 7339
u 5392 2755
u 9923 8120
u 2885 6071
u 2168 9162
u 5292 2156
u 284 2275
u 2293 2605
u 2035 8129
q 4901 6904
u 5415 9615
u 8418 6788
u 5318 1429
u 3569 3767
u 3850 9113
u 6558 4209
u 862 7072
q 4323 1027
u 4717 2988
u 9695 2087
u 2564 1152
u 3132 9515
u 3823 2566
u 2423 909
u 160 1382
q 1100 8303
u 3022 2219
u 5373 4761
u 5789 212
u 574 3003
u 2082 9265
u 2721 982
u 1164 7263
u 1223 172
u 806 8445
u 1255 9425
u 4252 2847
u 7983 9866
u 7370 3278
u 5613 2902
u 5138 7631
q 395 7078
q 6994 9229
u 3099 2988
u 7046 6340
q 4148 1974
u 3545 7458
u 5243 961
q 7819 7178
u 8239 716
u 5428 4480
u 9160 3282
u 4016 4846
q 8383 3684
u 1838 3685
q 7082 6218
u 2679 8836
q 57 6733
u 3191 2329
q 208 1112
u 8644 7032
q 8261 3310
u 3264 5067
u 1960 6831
q 1595 8532
u 4004 4445
u 1996 8398
u 6322 5712
u 2538 6380
u 6246 784
u 5588 7074
u 4074 9614
u 299 5581
u 6711 9798
u 607 1537
q 1190 7009
u 9367 1965
u 6199 1346
u 7507 9433
q 6507 2653
u 9557 5111
q 6511 9657
u 7277 4285
q 6614 1084
u 953 4274
u 8365 4160
u 9268 2494
q 3626 88
u 4575 3073
u 1202 1159
u 3332 8177
u 623 592
u 2756 145
q 6749 9821
u 1401 7595
q 1015 6209
q 2367 7002
u 2625 7717
u 1420 2917
u 1278 4807
u 7592 2782
u 9669 320
u 286 5521
u 8810 1426
u 3141 720
u 3430 54
u 4654 7130
u 639 8196
q 5414 6522
q 1409 2327
q 7304 8825
u 8469 389
u 1165 2217
u 3879 1355
u 9340 724
u 2958 8502
q 4880 9937
u 3940 9136
u 2500 6681
u 2143 6496
u 1013 2742
u 7678 9282
u 2084 1616
u 9672 3598
u 6982 6098
q 7129 8045
u 6632 8585
u 3804 8401
u 4925 9585
u 2573 4281
u 7261 6047
u 7714 2999
u 3136 6907
u 7985 9275
u 8205 2224
u 4474 8880
u 522 4692
u 7121 2761
u 3342 4269
u 9852 8638
u 8064 9536
u 1916 8666
u 6133 3583
u 2649 6342
u 1251 6816
u 1736 3819
u 8171 1450
q 9369 5612
u 5032 9602
u 7115 3097
u 1827 2872
u 7952 160
u 6165 5205
u 3392 779
q 3919 1615
u 4702 702
u 6669 6210
u 7023 3530
u 7464 1383
u 8335 5389
u 375 1938
q 3177 9666
u 7582 4538
q 7549 8384
u 5899 9140
u 3913 4270
u 9765 7733
u 2420 377
q 1859 6823
u 4550 3935
u 3128 9931
u 3212 9198
u 6043 877
u 2136 6664
u 3588 5175
u 2269 5565
u 3226 9139
q 1594 528
u 8794 9964
u 8178 2214
u 5336 3145
u 8520 9299
u 2586 6733
u 2433 9154
u 931 1643
u 6510 1750
u 9528 6461
u 8404 7238
q 1125 1920
u 6995 6529
u 118 2041
q 9183 7205
u 4658 9484
u 5986 244
u 5096 3017
q 578 6568
u 8286 2303
u 5476 8502
u 7477 4403
u 4500 2005
q 8725 1400
u 7278 8095
u 3460 6260
u 8248 2882
u 3671 3880
u 4883 1600
u 7494 9593
q 4791 9816
u 9362 1169
u 4772 6681
q 7900 2231
u 1828 5950
u 5231 4622
u 5504 2338
u 8807 6929
u 5996 8817
u 3888 4870
q 7002 242
u 7894 2663
u 7872 6596
q 7349 7299
u 9888 6292
u 3357 4681
u 2503 5329
u 7290 2738
q 6271 6591
u 4878 1089
u 8951 7169
u 4693 8456
q 1936 5068
q 9340 1173
u 5987 3875
u 3127 3940
u 6869 1685
u 428 5575
u 3967 9947
u 8875 2633
u 2380 1371
u 3295 4763
u 7619 6186
q 2575 4677
q 2058 902
q 2496 91
q 1498 555
q 3594 1215
q 1099 2378
u 23 2934
u 249 5798
u 869 2829
u 1465 1933
u 9160 8215
u 7870 101
u 7291 1804
q 5794 6570
u 3547 8401
u 6739 468
u 9233 8497
u 2503 4491
q 913 9965
u 6273 7246
u 5640 8983
u 237 7957
u 107 1839
u 8510 4074
u 6267 9197
q 2951 4899
q 5290 1360
u 9581 782
u 7986 8155
u 7600 3129
u 677 7148
u 382 3066
u 9348 4013
u 9059 9628
u 2391 4188
u 6188 5906
u 931 3035
u 699 2392
u 3497 2025
u 713 985
q 5715 3280
u 9401 928
u 2163 6692
u 6455 7299
u 5859 5966
u 9960 639
u 428 4904
u 7514 8882
u 3673 236
u 9325 4364
u 3825 1660
u 7289 4993
u 9281 2571
u 2551 7301
u 7647 2891
u 4435 3183
u 1050 6658
u 8631 6367
u 3899 7588
q 6062 9086
u 9476 4259
u 1161 7573
u 4525 2401
u 3748 3679
u 4267 5577
u 3039 6061
q 157 316
u 2209 5337
u 1198 5548
q 5168 5207
u 5800 9364
u 5447 999
u 9515 3536
u 7868 2737
q 5624 3409
u 1297 4576
u 6246 8429
u 7095 9317
u 3466 5212
u 4180 314
q 6190 1761
q 6538 9311
q 3579 4917
u 2029 8032
u 7141 4907
u 6449 1693
u 8976 4050
q 6576 196
q 4743 947
u 7607 5755
q 9694 4860
u 9414 3534
q 6241 8019
u 9343 6217
u 2376 320
u 7476 4751
q 1875 499
q 775 782
u 7251 8510
q 7632 1511
u 8289 6971
u 3961 1064
u 8712 4683
u 7095 6432
u 5877 5123
u 211 7535
u 5120 4150
q 2384 2415
u 3059 9589
u 1106 2669
u 4831 9752
u 3726 9918
q 2147 974
u 357 9982
u 6894 7522
u 4911 7795
u 9086 9050
u 6545 8400
u 1431 2222
u 7119 9844
u 5903 8512
u 6120 3016
u 562 3632
q 6121 7904
u 8961 4225
u 6358 7026
u 476 2529
q 6031 9328
u 2438 9233
u 249 6738
u 5040 8380
u 3417 3849
q 7011 2207
u 5156 7884
u 9043 1716
u 8018 6768
u 966 2557
u 879 7309
u 7780 4204
u 1205 3973
u 1636 8479
u 2849 3020
u 4042 9988
u 7956 9633
u 4594 4130
u 5813 7590
u 4198 597
u 125 4321
q 6368 4230
u 7170 1248
u 5999 7104
u 9330 8548
q 4033 3583
u 1059 3662
u 7823 6314
u 3476 3342
u 1536 6205
q 5762 9995
u 2399 5021
u 4902 4142
u 8610 7957
u 4215 4587
q 5235 797
q 4999 3667
u 9963 7290
u 3782 9348
q 9354 7160
u 1217 2200
u 2413 7621
u 9582 7503
q 4687 8634
u 7727 6236
u 5568 4779
q 5478 5329
q 7744 6977
u 7557 9782
u 3363 9350
q 9677 5039
u 7952 7788
u 4027 2649
q 2138 1692
u 5847 8174
q 2710 5440
u 1824 4416
u 5167 6853
u 190 6366
u 2905 1411
u 7853 2236
u 2976 1769
u 9241 3353
u 8106 4945
u 3147 6306
q 9768 9400
u 2533 5016
u 2257 1963
u 9483 6532
u 4824 9131
u 6875 4258
u 6964 4361
u 9691 835
u 6908 9221
u 9547 3015
u 4502 9423
u 9205 2740
q 8689 6434
u 8420 4281
u 2263 6306
u 6026 7394
u 7233 1837
u 2174 9388
u 4393 8171
u 381 5926
u 2116 7290
u 1404 3215
q 8699 687
u 207 4240
q 5105 6881
u 2190 7849
u 2665 9747
u 5373 672
u 6232 7239
q 2179 6022
u 2997 4162
u 9028 1274
u 8435 1704
u 965 3534
u 4716 182
u 6160 8432
u 1307 7620
u 9308 3879
q 6313 9939
q 4035 1743
q 9963 778
u 3109 4359
q 6784 3236
u 3022 9757
u 8469 1329
u 9103 8313
u 8981 3565
u 2431 7167
u 6323 8255
q 2376 4244
q 5521 6547
u 9683 3328
q 3357 446
q 9779 7489
u 9207 8254
u 9835 3889
u 6646 471
u 996 727
u 4565 9253
u 7755 8122
q 2084 4423
u 4986 1507
u 7233 9939
u 6301 1793
u 8840 235
u 7905 7251
u 416 9540
u 3820 9634
q 4285 2996
u 3790 6033
u 8763 8152
u 6814 4553
q 5040 4333
u 6085 2906
u 6597 4767
u 3989 2188
u 3466 7009
q 4857 8916
u 4596 6067
u 7357 5404
u 2762 200
q 3265 4235
u 1719 7952
u 795 1305
u 9823 7734
q 4105 1318
u 3123 4740
u 111 7270
u 3014 1380
q 6813 7057
u 2438 4903
u 7350 1485
u 2379 1426
q 5304 1118
u 4598 3671
u 8689 5601
u 7465 9855
u 7354 2440
u 1584 8031
u 6758 9122
u 3050 9542
u 8489 6753
u 278 739
q 9551 7801
u 4582 5194
u 2660 3377
u 9027 9050
u 5591 1277
u 6051 347
u 7432 5210
u 6960 8939
u 9517 7846
u 2963 6023
u 672 8051
u 6672 8282
u 7436 4684
q 3064 9181
u 6554 4945
u 7516 5557
u 3514 3976
u 7264 4122
u 9935 7849
u 5092 1908
u 994 1796
q 6563 5313
q 5850 5022
q 6086 282
u 1191 5155
u 8056 4125
u 4207 3177
u 1962 4114
u 8409 8368
q 1307 9674
u 9975 3711
u 3674 8177
u 4427 7009
u 8093 1472
u 6011 8286
u 4095 5186
u 422 888
q 1976 4819
u 1394 9528
u 7591 5878
u 8097 9976
u 17 7371
u 110 3794
u 6255 2252
q 3124 304
u 6327 9420
u 9965 7359
u 2277 330
q 1354 5502
u 9490 1511
q 9454 3932
q 2216 5169
q 4196 7892
u 5179 1674
u 6462 7178
u 3951 4848
u 8646 4774
u 4846 6106
u 9407 8312
u 9790 6734
u 3161 6176
u 2400 5815
u 58 4420
u 4473 3091
u 8149 1282
u 4359 7783
u 126 1114
u 8801 5513
u 888 5942
u 2466 9617
u 1047 1387
q 1485 6712
u 939 8927
u 7959 6662
q 7406 7025
u 8091 7910
u 2656 7233
q 9914 8807
u 5406 530
u 1087 5439
q 8495 8651
u 5202 9631
u 1599 5266
q 7099 6085
q 8674 4333
u 8247 1133
q 687 1346
u 4619 9554
q 4175 6019
u 8823 178
q 8592 103
u 2701 6660
u 399 1857
u 3768 8913
u 8945 769
u 751 1915
u 1291 9612
u 9599 8224
u 754 9533
u 4645 9812
u 6023 6387
q 2895 3930
u 6655 9750
q 6498 2622
u 3301 7836
u 3750 4744
u 1444 6438
u 5630 2972
u 8872 8817
u 9911 9734
u 8577 3890
u 3075 6894
u 4844 5910
u 6726 1525
u 5659 896
u 559 6892
u 1417 3894
q 1740 150
u 9438 5745
u 3882 2545
u 9742 2514
u 9086 3820
u 6001 3968
u 6 4583
u 8097 3319
u 4615 9373
u 801 285
u 7293 1767
u 2774 9020
q 8637 7795
u 6766 9111
u 8044 1013
u 1088 3058
u 4833 5153
u 9196 5643
u 3168 9638
u 1814 2271
u 415 2254
u 6356 8973
u 1053 3117
u 4985 8022
u 5200 1734
u 1241 4439
u 8443 6904
u 6454 8025
u 4681 1462
q 5167 2749
u 3065 7153
u 3041 2724
u 6974 3793
u 3130 4006
u 7756 9075
u 2983 6644
u 6758 459
u 1034 2942
q 6749 4516
u 6151 2223
u 920 2216
u 3518 3957
u 2354 6575
u 3443 5504
u 8340 8414
q 5345 8800
u 1557 3591
u 3159 6676
u 5809 1752
u 1389 453
u 8882 9712
q 4922 7376
q 6998 7105
u 9090 595
q 6583 7660
u 9429 5114
u 973 7200
u 5589 9679
u 5909 7325
u 9263 5767
u 3088 2793
u 5432 3079
q 5050 8873
u 6978 4729
u 7926 2294
u 1983 3440
u 7527 721
u 8201 2270
u 3470 7730
u 3558 6162
u 719 6836
u 4964 5126
u 4208 6847
q 8576 7543
u 9630 7475
q 6078 1132
u 3257 9088
u 5327 2273
u 136 2506
u 5812 7840
u 8762 6574
u 9591 3093
q 3704 9800
u 5226 1844
u 1785 9506
u 8748 2032
u 2677 7151
q 7572 2757
u 8176 8778
u 9679 9921
u 7262 8263
u 7891 1272
u 1191 5233
q 7456 9429
u 8829 1260
u 6033 4765
q 7704 600
u 5374 7527
u 5548 6629
q 7840 3246
u 332 6638
q 7679 7197
u 8661 2495
u 6120 1580
u 2508 308
u 8183 7818
u 680 7893
u 2628 1288
u 222 4720
u 5717 715
u 1358 7819
u 903 1280
u 1202 4738
q 1137 6894
q 4985 7212
u 7339 5875
u 8093 311
u 775 8186
u 8898 1478
u 7904 4423
u 6463 665
u 2341 1854
u 9511 6383
u 4204 678
u 1374 7884
u 6179 6339
u 5999 9806
u 4486 3265
q 850 6085
u 2243 4683
u 9096 7099
u 7289 1359
u 6714 7260
u 2420 3561
u 9645 7994
u 2981 3925
u 2318 444
u 7453 5888
u 4091 1438
u 2391 2786
u 5161 7507
u 2436 7547
u 4183 5393
u 1838 6493
u 7587 5636
u 2964 9896
u 2432 5451
u 229 9333
q 1027 7065
u 1802 3083
u 8038 6919
u 9220 2597
u 5392 7599
u 3444 9453
q 2269 2999
q 7244 4865
u 1655 1191
u 829 5078
q 8590 1092
u 4457 2574
q 3901 2932
u 6294 2988
u 5340 7956
u 7923 9192
u 281 8195
u 90 5997
u 4241 2457
q 5896 6084
u 9128 8208
u 7935 7601
u 6559 8619
u 3572 7708
u 1701 4177
u 7316 317
u 8226 5639
u 6528 853
u 5701 4154
u 8514 7975
u 9644 815
u 7754 6193
u 7413 9749
q 9935 3210
u 5934 2790
u 3570 2863
u 556 4598
q 9436 5009
u 2930 8014
u 9169 1681
u 9175 8877
u 5387 1159
u 3786 4004
u 4058 8343
u 2605 5953
u 9593 6684
u 4167 2578
q 4040 7203
u 1087 4236
u 1254 4074
u 2532 623
u 7327 348
u 2061 8727
u 4206 1963
u 6773 6809
u 653 1843
u 5941 3746
u 5667 1327
u 593 6114
u 1150 211
u 8334 1254
u 2320 3019
u 2485 7539
u 7797 9949
u 2337 939
u 3395 3165
q 7391 2153
q 9265 8992
u 7127 6209
u 8952 6695
q 3539 7969
u 8779 6148
u 8697 1591
u 1556 2969
u 8615 6106
q 3512 717
u 3819 2993
u 5923 2635
q 6755 7451
u 2476 5745
q 7729 9899
u 321 5084
q 9432 9239
u 5832 7778
u 9545 884
u 569 7004
u 2779 933
u 856 2942
u 275 3849
u 3564 4623
u 2235 157
u 8556 8775
u 589 642
u 910 8117
u 9080 2417
q 2591 881
u 9748 9131
q 1836 218
u 4105 2695
u 9945 9912
q 662 8495
u 5226 5201
u 2295 3272
q 575 1454
q 4273 9910
u 4726 7720
u 3954 8409
u 9040 6495
q 8872 2230
u 5967 3592
u 6542 9844
u 8000 4662
u 322 4267
u 6535 354
u 5174 902
u 4655 1514
u 9307 943
u 9831 7121
u 3837 7931
u 2137 1890
u 1390 2083
q 4337 5857
u 1306 5686
u 1834 1454
u 3647 5026
u 1459 233
u 8136 9689
u 4331 9927
u 8894 9623
u 2359 2660
q 589 3706
u 3734 3354
u 2626 9717
u 9713 4870
u 2034 563
u 396 5211
q 2365 2914
q 3459 7618
u 2825 8504
q 5129 4738
u 9138 6012
u 3663 6461
u 7572 5233
u 1593 548
u 9426 9262
u 8683 3353
u 6390 2488
u 2105 2355
u 8752 1687
u 473 7979
u 799 8637
u 8957 9209
u 5345 8755
q 7663 6290
u 6464 3285
u 7467 8314
u 9961 1694
u 8624 6230
q 230 3431
u 5992 2390
u 5674 9518
q 4113 193
u 7238 6895
u 7708 2797
u 224 2547
u 2698 5476
u 8967 9311
u 6219 8968
u 6652 7768
q 52 199
u 8276 7033
u 2566 2879
u 1180 2943
u 7390 4856
u 208 2590
u 1405 6232
u 9080 1860
u 3951 6306
q 1085 4371
u 2167 2428
u 9575 3240
q 1558 3527
u 4067 9537
u 7353 6577
q 656 7582
u 3147 61
u 5195 8623
u 1044 6096
u 658 8595
u 881 5034
u 3801 6936
q 5519 9026
u 4382 5309
u 5180 6234
u 7059 1800
q 7582 9557
u 4205 3534
u 6573 8097
q 1169 8610
u 8866 9238
q 9696 7832
u 3360 2267
u 1419 9936
u 5917 6524
u 1352 2175
u 4900 9325
u 5214 9364
u 5225 3452
u 9840 6670
u 6185 6989
u 5092 7433
u 8804 8897
q 3558 635
u 2824 4730
u 1669 3966
u 1496 6578
u 3683 1466
u 498 582
q 8588 1704
u 7623 7528
u 570 1212
u 6578 275
u 8469 3941
u 155 7496
u 1961 9260
u 8430 8449
u 6005 4736
u 2570 38
u 5968 2885
u 2288 6785
u 5437 3757
u 8378 7517
q 9707 4038
u 6286 3762
u 6478 4970
u 8802 8436
u 673 4784
u 3173 2213
u 3315 6005
u 785 5191
u 1771 9096
u 7662 4055
u 1379 3826
q 5448 2371
u 1810 8440
u 811 7718
u 8951 2869
u 7924 6822
u 4390 6597
u 9395 1213
u 5601 9638
u 3376 2110
u 5188 1326
u 4304 2791
u 6591 4499
u 3066 7760
q 8473 5613
u 7599 5734
u 3935 568
u 432 9732
u 8014 2554
q 1795 8741
u 3921 9659
u 4948 729
u 4092 3370
u 369 9668
u 3558 5427
u 2569 6152
q 4320 2120
u 1122 2408
q 5345 4476
u 4075 6623
u 8970 665
u 8670 4850
u 660 2284
u 5692 2557
u 3865 8866
u 6948 4518
q 4829 6246
u 8647 4997
u 666 1943
u 1232 5279
u 3391 5956
u 3951 1431
q 4582 777
u 1285 4735
u 8426 2967
q 6394 9875
u 9557 6347
u 2205 7332
q 9383 6770
u 4684 6115
u 1985 1884
q 8454 5919
u 3564 3037
u 5613 9753
u 5901 7143
u 4667 5183
u 4544 7710
u 7835 7152
u 9850 9791
u 9344 1424
u 8729 8967
u 6655 6068
u 7706 8078
u 9285 8993
q 9579 5118
u 3868 9795
u 3255 5083
u 7643 2132
u 5940 1582
u 5852 50
q 7283 1496
u 1019 7502
q 281 6364
q 6600 7710
u 7756 9710
q 5390 5449
u 4158 3056
u 5656 9008
u 2620 6966
u 866 4727
u 9417 9536
u 4536 9382
q 1479 6409
u 8139 924
u 6748 8810
u 1219 404
u 6096 812
q 9683 5419
q 1519 3358
u 2882 7913
u 7094 7162
u 6730 2176
u 9417 7457
u 5750 8175
u 7395 9762
q 1610 7896
u 5526 5544
u 6359 583
u 399 2191
u 7716 3691
u 608 7609
q 3220 7844
u 4183 9420
u 9674 5889
u 9786 2276
q 4542 9697
u 5254 7393
u 5442 2676
q 451 5630
u 7855 3743
u 317 1947
u 6940 3448
u 334 3712
u 9488 9346
u 8349 745
u 3434 6111
u 8032 9502
u 3100 806
q 8831 7919
u 9739 4084
q 363 129
u 8216 1789
u 3970 1966
u 4748 4713
q 9748 2667
u 3942 9251
q 7438 610
u 9779 2524
q 2241 4593
u 4683 7772
u 7285 7334
u 8916 1108
u 5837 4250
u 9994 403
u 6361 5175
u 9834 587
u 7873 3985
u 7676 5750
u 8970 5373
u 2438 3192
q 2057 4170
u 4949 9872
u 1250 7370
u 7559 9926
u 3173 811
u 7424 3244
u 7483 5915
u 5383 6796
u 9703 506
u 1988 6313
u 7561 6977
u 3076 822
u 6352 6098
q 1393 975
q 3244 7360
u 6222 5802
u 4425 740
u 5670 4506
u 6383 6974
q 9683 5707
u 5695 8297
u 3574 577
u 8219 101
q 5679 9785
q 4329 3070
u 7527 536
q 9818 6786
u 7792 4000
q 4776 7876
u 3304 2091
u 2539 530
u 4559 2477
q 8202 5491
u 9543 4679
u 388 1043
q 5397 4456
u 5778 6173
u 7319 8622
u 9658 2202
u 9891 3691
u 7519 738
u 1297 5889
u 7404 6862
q 1536 5541
u 7171 7762
u 9023 2298
u 1691 199
u 1887 4188
u 5735 1370
q 5600 7869
q 9396 8489
u 8407 1238
q 5957 8619
u 9866 9543
u 7242 2493
u 2970 6952
u 7893 7410
u 661 9155
u 5772 6218
u 2273 448
u 1724 5352
q 9335 9358
u 441 8452
u 1056 895
u 4024 1607
q 5580 6474
u 875 8063
u 1523 3685
u 1826 421
q 9417 3087
q 546 937
u 2350 6828
q 2820 8656
u 2849 8895
u 3681 5189
u 5098 7796
u 5222 6573
u 4316 9176
u 4150 1101
q 8555 7200
u 5276 8203
u 9404 7208
u 196 288
u 8958 1864
q 1003 5733
u 3769 6832
u 8445 4397
u 5021 6707
u 1205 5660
q 6164 7686
u 4324 39
u 9016 4180
q 9151 6637
u 7889 4762
u 5666 6164
u 6395 6838
u 3216 1561
q 5642 592
u 2933 1535
q 9232 1077
u 681 1337
u 3472 9434
q 4522 8596
u 7354 8895
u 1224 6295
u 7502 5565
u 7204 4425
q 8075 1357
u 1845 6151
u 9258 216
u 2257 9694
u 7117 8476
u 9939 5724
u 4939 6130
u 5824 4073
u 1348 1595
u 3707 7293
u 2041 7209
u 7150 3136
q 9933 6214
u 9408 2281
u 3152 8603
u 6448 4489
u 3368 6629
u 4409 5420
u 1146 3290
u 6004 1761
u 1160 6319
u 5763 5824
u 3591 7516
u 4523 1541
u 7902 7565
u 9262 7918
q 6038 9133
u 3936 8353
u 3674 5794
u 4922 3180
u 6284 1172
u 4862 7788
u 5848 8203
u 6625 5224
u 2472 7069
u 6380 6680
q 126 7938
q 3129 3513
u 3882 8909
u 8121 2159
u 618 8808
q 2501 2408
q 4388 2968
q 6918 4184
u 7190 7997
u 3340 1306
q 6228 6928
q 8865 4655
u 8677 2100
u 5223 4491
u 1016 9887
u 215 1925
u 1073 2342
u 177 5293
u 3638 5325
u 3357 2339
u 3519 4259
u 9805 2089
u 5697 5016
u 9855 1850
q 3020 800
u 5653 1416
u 28 8066
u 8419 9335
u 5511 5539
u 7909 6146
q 5707 3272
q 49 751
u 3435 6757
u 8833 6156
u 2427 1598
u 1362 9211
u 6922 6084
u 3277 7302
u 9627 3355
u 8183 1152
u 3315 8167
u 3262 2076
u 138 2475
u 3013 8141
u 9173 9485
u 3537 455
u 2579 5913
q 3295 5652
u 4458 2364
q 465 1274
u 2296 2826
u 9847 7919
u 3659 313
u 6091 1175
u 2566 8823
q 3136 7459
q 1611 2937
u 2760 8200
u 238 8475
q 9439 6839
u 7594 7018
u 9827 9541
q 6794 7507
u 8657 2694
u 9920 5992
q 6352 2203
q 3116 6505
q 1273 7205
u 1448 3527
u 635 8628
u 3748 7937
u 4751 3932
u 3247 3334
u 9518 6473
u 7449 3258
q 465 7795
u 2728 3975
u 2406 1009
u 8095 6458
u 5194 2963
u 8774 94
u 2393 8825
q 443 7959
u 8533 3156
u 8979 2969
u 7710 9746
u 6308 6481
u 8800 7959
q 9556 9838
u 432 601
q 5447 6180
u 6525 244
u 5944 6439
u 4332 9437
u 541 8237
u 8290 2060
u 1370 2441
q 5178 5009
u 759 3545
u 4200 2755
u 2107 8969
u 9937 5687
