100000 100000
u 24163 1218
u 82013 59761
u 11267 90836
u 20748 77860
u 67265 25204
u 88977 7114
u 7676 95465
u 32299 92134
u 70097 25458
u 94259 75185
u 28638 66138
u 46088 41342
u 42087 72971
u 89146 55217
u 71573 62617
u 7399 31074
u 50577 42357
u 2524 37919
u 22700 99179
u 10460 5861
u 80979 57124
u 61778 42624
u 98887 84471
q 86554 62766
q 78399 13457
u 50409 80505
u 42907 70872
u 53488 55630
u 44275 5
u 40289 14426
u 15907 34715
u 7503 69638
u 81192 81452
u 2810 44355
u 73346 46696
u 98685 79891
u 79565 68569
q 31732 96968
u 60962 96286
q 12589 8272
u 50646 19643
q 39773 1409
u 8990 30254
q 64792 92602
u 30451 1601
u 63752 45616
u 25792 33512
u 29101 50430
u 69944 86908
q 67060 14701
u 39878 19853
q 4247 16395
u 65294 2564
u 54861 32412
q 53850 14682
u 49264 60563
u 15160 63414
u 73998 86795
u 36040 59071
u 41213 48535
u 91805 32072
u 58247 14696
q 46542 16660
u 97540 24956
q 50853 77803
q 5896 57994
u 83274 17887
q 61166 66555
u 3554 97622
u 18502 84920
u 44030 48720
u 88184 83349
u 11536 49418
u 79924 27069
u 86634 39586
u 59706 38395
q 41026 64974
u 4907 8929
u 64095 43634
u 10621 35726
u 95856 36291
q 24537 19967
u 79464 9258
u 70455 67985
u 20897 14669
u 96873 79145
q 8140 88290
u 32254 16879
u 92376 99299
u 12177 95169
u 39360 57938
q 16268 97103
q 55980 63614
u 7724 74478
u 1616 92049
u 67729 25112
u 39999 17103
u 2521 96005
u 91538 79446
u 27614 83611
u 80275 80086
q 80320 95811
u 42936 1588
u 98279 48543
u 45885 49895
u 69186 16181
q 72717 29086
u 61518 21677
u 95488 73794
u 72566 41699
u 82787 99282
u 79730 52579
u 94965 68111
u 89805 35470
q 8317 66069
u 38500 82804
u 56733 55639
u 41377 52195
u 5084 44565
u 69680 8850
u 70885 59153
u 22922 51897
u 76597 9839
u 71689 97759
u 89026 99292
u 38865 86322
q 30552 87767
q 80705 55338
u 18709 8332
q 26712 11275
u 57749 7747
u 63929 20394
u 44692 8762
u 5251 11045
q 21507 84794
u 46594 48733
q 483 14871
u 55225 64508
u 76238 79297
u 91237 96365
u 48798 49670
q 28812 45758
u 50540 46123
q 46233 52828
u 74080 76920
u 55018 65974
u 71498 66677
u 92553 61170
u 16796 43650
u 39921 45761
u 82828 10755
u 37738 9966
u 90060 38940
u 81039 30385
u 16216 73012
u 12401 88866
u 11729 9341
u 40637 83635
u 8321 12598
q 38650 52325
u 62525 48173
u 83660 57193
u 42255 48742
q 77787 3829
u 44998 14073
u 58268 65316
u 3632 26855
u 6833 92892
u 60293 63062
u 74848 17850
u 32014 53176
u 49368 92798
q 33674 97976
u 96627 66202
q 34939 48179
u 65804 40054
u 9137 29860
u 53297 41410
q 30324 98758
u 39951 91410
u 78694 36246
u 41733 66529
u 74827 80971
u 13114 56885
u 67331 51226
u 42083 1024
u 8868 25538
u 7789 90137
u 94495 30492
u 21849 33098
u 74079 4537
u 88928 40181
u 2525 24869
u 65902 68166
u 67957 62773
q 49932 23887
q 21909 69635
u 46867 12853
u 21262 46213
u 23512 26758
u 28205 82626
u 20166 86488
u 7963 22340
q 82286 62546
u 29622 81962
u 69462 45829
u 50112 27249
u 39083 48312
q 58914 51766
u 64854 57527
u 93315 99063
q 73941 51099
u 66823 29885
u 2685 19883
u 83230 49781
u 63548 98539
u 65049 18324
u 61915 67677
u 24048 22544
u 5797 46692
u 13444 2046
u 75122 92641
u 31080 35256
q 3878 57393
q 29559 74716
u 7211 5210
q 91046 53741
q 60087 69036
u 8477 89698
u 31941 5202
u 2521 73191
u 47937 60400
u 85119 74473
u 44248 36593
q 28241 30122
u 45016 86560
u 10547 88290
q 83768 59876
q 55836 99851
q 37021 36115
u 25812 865
u 96117 70405
u 30780 4551
q 69668 88693
u 82431 51269
u 76529 79474
u 41992 82204
q 28250 55408
q 30672 80544
u 93781 28836
q 98960 95627
u 77299 83207
u 82318 50483
u 72918 17699
q 41632 77738
u 2028 48503
u 23680 60850
u 53149 46071
u 18518 51176
u 64662 41410
q 80783 49847
u 43083 69074
u 40029 46190
u 16386 74052
q 45185 63512
u 2432 96601
q 20195 37176
q 21497 72888
u 33857 28460
u 43057 26906
u 44201 67752
u 59771 49856
u 19859 54550
u 80687 80989
u 19930 80442
u 28393 84733
u 38044 83417
q 39642 72405
u 4404 36777
u 81428 35349
u 67404 5029
u 5400 13126
u 49449 3426
u 12040 16038
u 43903 10253
u 3664 27629
u 94965 25950
u 62994 21709
u 63550 24908
u 28453 83585
u 73440 18840
u 96775 31266
u 64416 10762
q 5328 69381
q 12653 94110
u 19016 55152
u 18930 37106
u 83251 44247
u 32428 53840
u 3605 65490
u 2168 79954
u 59590 20241
u 6906 21438
u 10494 86137
u 20317 88257
u 57021 69051
u 70218 23516
u 66435 84416
q 54333 68567
q 99484 66136
u 28177 33462
u 38607 24557
u 56644 38643
u 15218 68967
u 22360 67129
u 19201 47448
u 78625 90394
u 8343 4833
u 38495 20611
u 17035 57864
u 24602 28147
u 99495 47573
u 86637 98600
u 21746 58419
u 83935 42933
u 78844 3662
u 63449 66109
u 80610 68574
u 7875 44382
u 41235 37176
u 99603 5281
u 56578 63751
u 41858 93628
q 62695 22691
u 90542 79971
u 44401 56722
u 25254 7634
u 33489 45962
u 32194 30057
u 62543 81547
u 10002 46223
u 37565 2755
u 62181 26612
q 12525 41688
u 47362 54893
u 71259 22313
q 34921 20829
u 70978 78659
u 40066 78874
u 74500 75965
q 86765 61270
u 69587 14066
u 45605 23586
u 972 88108
u 43545 35790
u 59275 8505
u 19514 95119
u 9961 89152
u 33045 92201
u 8111 19071
q 28806 71077
u 68357 76623
u 29020 53508
u 8703 76748
u 45623 74654
u 72192 20789
u 8229 10734
u 89525 9942
q 92315 70525
u 62034 81017
u 68403 5730
u 80466 91655
u 81987 99755
u 98634 61590
u 97880 19052
u 21184 23500
u 51207 76185
u 22098 10524
q 88421 33018
u 49200 50976
u 5640 21181
u 90974 12413
u 57194 75108
u 27256 97036
u 23708 80522
u 50610 43697
u 47154 49992
u 61326 15119
u 91333 96592
u 60185 63945
u 10157 15131
u 49801 14502
q 62864 89748
u 86897 69823
u 56470 47085
u 53699 48459
q 80829 29874
q 71112 59763
u 53327 54280
u 80966 20559
u 44446 60747
u 94199 90255
q 5667 92673
u 21613 76184
u 2263 43685
u 3416 68537
u 34122 62963
u 77042 80204
u 97538 76784
u 92589 27951
q 16488 34015
u 97487 82453
u 17220 60415
q 29655 75488
u 67780 85837
u 85001 19297
q 86643 65232
u 35920 53263
u 83496 37575
u 29473 61504
u 36507 65860
u 39239 34401
q 23893 64973
u 110 30260
u 47865 67785
u 78809 30834
q 47593 22131
u 79773 75185
u 68975 11360
u 2785 34169
q 3357 6610
q 52325 39087
u 21156 80780
u 40850 48914
u 32820 42022
u 72949 81477
q 27483 79056
u 54390 79487
u 22219 94180
u 82071 84239
u 54624 26334
u 78511 16648
u 86560 30552
u 8107 63477
u 39302 68124
u 3020 66509
u 82095 56428
u 93106 17450
u 92347 7841
u 73535 1784
u 20033 16872
u 14278 42141
u 64753 55781
u 39698 6404
u 47424 62065
u 88344 38895
q 69495 64134
u 68840 64175
u 45232 92235
u 86986 43340
q 81193 94340
u 86458 5849
u 87389 5856
q 34727 3520
u 97786 51769
u 56511 38735
q 87363 58341
q 25038 83171
u 51731 87464
u 19860 37724
u 41069 60942
u 54900 56307
u 68063 28213
q 23561 59444
u 7 88247
q 49537 60712
u 94912 47797
u 95079 53625
u 11456 27667
u 65013 56228
u 60993 75217
u 58616 50988
q 10636 56559
q 47870 62823
u 17667 11939
u 54979 20780
u 36755 47449
u 70650 26431
u 93389 38359
u 73821 87670
u 65171 89208
u 29497 39078
q 32415 82394
u 52352 58123
u 84536 22103
u 58263 79654
q 31203 23409
q 41847 58273
q 89111 11594
u 2063 58460
u 65356 13594
u 17127 12453
u 30555 75042
u 30998 87678
u 98047 99732
u 26539 64657
u 43168 4534
u 37754 61115
u 51132 62361
u 30248 75820
u 17539 22204
u 72129 10375
u 70143 51965
u 85692 26151
u 42639 73676
u 15470 39467
u 50907 66023
u 74254 53074
u 67461 52217
u 99200 10128
u 66200 9451
u 18561 72857
u 67054 10416
u 75625 65207
u 88617 34483
q 18362 38827
u 13586 74565
q 21288 10581
u 68041 22881
u 63681 30436
u 25238 52017
u 89749 72789
u 42049 60777
u 98723 66681
u 52860 76444
u 28589 60193
q 88407 27225
u 30889 12519
u 23596 89522
u 9178 58929
u 19870 63614
q 50955 43583
u 82435 33551
u 31093 50270
u 38187 22497
q 58516 4168
u 35132 73135
q 6377 11084
u 25970 83684
u 23026 36031
u 41427 84663
u 53556 15879
u 13371 58911
u 19466 7340
q 56862 44088
u 55785 42383
u 91327 39660
u 93108 88237
u 32623 57092
q 39054 48360
u 31517 45566
u 36958 19431
u 38840 28042
u 30494 4739
u 12277 2285
q 71947 24620
u 70315 57877
u 60947 71284
u 41897 64838
u 96375 56585
q 51099 45578
q 72962 42455
u 98366 87090
u 64209 38536
u 8210 26341
u 63157 63973
q 38290 53060
u 91540 90279
u 37283 8685
u 50908 20737
u 26525 2383
u 40723 73439
u 48960 17396
u 59923 22722
u 47234 52988
u 99968 47975
u 12456 10439
u 11007 72568
u 75640 95779
u 83853 44290
u 95458 5713
u 76007 78902
u 10184 41687
u 30529 87432
u 5778 25285
u 48942 95627
u 28753 22920
u 65981 53422
u 42094 91655
u 50645 77162
u 76394 6153
q 17593 6815
u 26135 84479
u 15517 43441
u 93332 44607
u 81926 29407
u 56040 3947
u 89950 29522
u 73643 20048
u 53769 74787
u 20649 92549
u 55404 4039
u 62876 7164
u 97622 91541
u 53022 28742
u 447 86636
u 59562 79419
u 72756 19597
q 26542 94183
u 23597 40137
u 74550 90494
u 63854 73544
u 62892 41427
u 15466 87237
u 47056 52169
u 61157 61141
u 73908 74401
u 73357 80655
u 43556 62967
u 17044 39580
u 82795 47892
u 46503 4512
u 91526 70130
q 82309 71135
u 64645 6909
q 5825 91996
u 26313 41429
u 84432 16985
u 53429 99034
u 50078 9046
u 11289 21340
u 17773 85425
u 8023 77084
u 64952 34889
u 1550 62956
u 36438 90452
q 11817 2164
u 39979 73642
u 17160 38036
u 8563 49796
u 34267 9856
u 4544 31165
u 96965 82461
u 34922 13692
u 9188 28038
u 77658 25905
q 26538 66677
u 27288 27531
u 8769 42204
q 9973 73462
u 12014 34582
u 64778 95644
u 52190 58039
u 44041 11514
u 95237 6580
u 43696 59551
u 29162 30652
u 51598 17619
u 44102 63813
q 11785 13427
u 13360 28024
u 42222 5912
u 57298 13303
u 15008 95435
u 93737 19710
u 17397 43348
u 39473 92720
u 23390 46152
u 6568 17004
u 33506 52057
u 18040 66559
u 78609 83689
u 60645 90613
q 42545 25351
u 81413 23079
u 96002 74618
u 85136 74501
u 57845 9823
u 82577 43664
u 96311 29007
u 20880 11032
u 58900 51228
u 33755 24687
q 74475 70815
u 6126 75249
u 24802 67363
u 90715 33263
u 82996 87846
u 80480 59584
u 13949 73264
q 22391 36795
u 97144 92210
u 1787 75081
u 70496 74256
q 60792 50063
q 62388 57681
u 71300 68055
u 506 77277
u 58594 58056
q 89108 4587
u 50350 93239
q 47692 60809
u 10820 85973
u 26678 59273
q 42318 37818
u 61679 90700
q 45084 88117
u 60732 79358
q 45151 53647
q 81060 56177
u 69449 21972
q 98086 42468
u 66453 13230
q 46615 65587
u 7232 87741
u 48683 38255
q 67604 87686
u 86272 49686
u 96606 20897
u 44217 1937
u 97227 66883
u 33386 426
u 25643 66118
u 18343 63959
u 80653 83170
u 40831 34532
q 54740 81850
q 32262 2613
u 1927 72816
u 39165 13284
u 60375 51542
u 90214 79396
u 11266 39885
u 91172 83310
u 97949 82868
u 4524 46229
u 90226 43404
u 67993 11964
u 21777 72234
u 71205 59906
u 51440 12970
u 48396 75123
u 65256 60714
u 96398 9532
q 75061 22202
u 1771 8933
u 23827 68324
u 82559 48778
q 5349 51048
u 76677 62148
q 18459 42746
u 80410 56267
u 79831 85528
u 71584 40848
u 95198 83108
u 59899 88899
q 46185 68934
u 48669 7608
q 31139 73188
u 43910 86413
u 42490 6339
u 13971 41409
q 35660 19816
q 33321 95327
u 39965 33360
u 76415 64984
u 57059 67357
u 86747 85630
u 76743 5441
u 47010 6551
q 9505 26969
u 20190 46160
q 23576 74608
u 27148 26137
u 26523 56425
u 47240 43083
u 52759 95183
u 14396 4826
u 92587 58000
u 48297 99785
u 20855 30941
u 17629 94227
u 3114 37715
u 51953 25110
u 78321 69903
u 52181 78863
u 83817 38765
u 23908 41850
u 32220 11678
u 66662 92957
u 48905 38469
u 94641 81563
q 81996 41748
u 4216 40340
q 58227 71152
u 84201 10802
u 48026 95005
u 60035 80825
u 21090 53200
u 28441 68274
u 88858 25254
u 63953 76132
u 42833 39484
u 15080 10858
u 6667 88491
u 2981 99645
u 78552 4360
q 25198 979
u 90219 16473
u 94328 94615
u 7554 19077
u 21968 71474
u 11553 64105
u 81129 3125
q 32178 75372
u 60684 68947
u 75459 3783
u 97071 77408
u 44528 1702
q 59523 75022
u 94382 88663
q 79858 15136
u 37979 55584
u 76637 84739
u 17682 24100
u 53227 27077
u 59872 64451
q 16198 60279
u 79715 41935
u 12617 44670
u 96622 34366
q 71206 52276
u 24082 43086
u 44110 85707
u 28287 63172
u 30264 7126
q 13212 81927
u 34684 76922
u 90390 92255
u 79711 89112
u 17144 4019
u 59283 10371
q 95872 78002
u 49534 69323
u 35561 780
q 74420 8242
u 89399 70230
u 8149 79879
q 89413 55961
q 1811 54415
u 64152 91710
u 30880 82672
u 48101 6088
u 84350 43695
u 64613 80576
u 65877 13935
u 72658 36085
u 1850 76394
u 62855 66189
u 21881 4732
q 42365 7538
q 54389 76794
q 74595 36211
u 83046 868
u 22240 31866
u 18571 34766
u 82286 47050
u 46874 9858
q 13154 15504
u 83119 28943
u 727 36926
u 84609 99570
u 89120 76328
u 33222 73377
q 82668 51480
u 53060 94219
u 68115 30484
u 84960 90031
q 47089 16634
u 72902 69225
q 27872 56371
q 6726 96021
u 49905 90310
u 93222 51845
q 80972 26173
u 86823 776
u 49854 36915
u 58207 77403
u 87920 7692
q 65828 20165
u 68931 84244
q 66447 90382
u 27881 18198
u 67496 3898
q 52574 12788
u 97270 38193
u 91605 61629
u 59279 17577
u 83734 86721
q 62582 31974
u 14220 71878
u 79889 20256
u 63909 15299
u 64136 57654
u 10474 11031
u 87768 33402
u 63799 83419
u 45349 76953
u 14098 37019
q 83171 93272
u 85502 81922
q 14407 41580
q 49416 891
u 59467 35418
u 50 37154
u 33666 92778
q 77022 75697
u 41442 7847
u 34959 68314
u 19301 55198
u 50923 92853
q 57067 85007
u 59327 23622
u 18871 64482
u 22521 60726
u 4705 63254
u 54307 82390
u 64108 77197
u 84129 88720
q 98481 61035
u 97309 15830
q 76797 24855
u 23579 65350
u 11017 14393
q 28555 26824
u 17364 80833
u 57942 84550
u 12529 95414
u 1577 12002
q 86840 50227
u 48916 89638
u 10559 46862
u 94598 44513
u 57244 66918
u 17271 83565
u 2680 36170
u 71361 74038
u 25656 72722
u 48570 55190
q 85399 85302
u 79610 49523
u 35989 55121
u 63446 50251
u 63391 6490
u 20653 41308
u 90128 12183
u 52970 6084
u 96616 73201
u 69210 28146
q 22250 73405
q 56395 82780
q 43385 82294
u 19340 28297
u 76834 93420
u 81371 56358
u 86243 41898
u 25611 85398
u 91750 28726
u 18367 76854
u 75413 66798
u 10768 25620
u 64429 16881
q 54700 99570
u 88468 40270
u 23664 5253
u 68984 68038
q 53601 16076
u 42408 45737
q 74640 42322
u 39151 19505
u 3428 30750
u 57358 81591
u 29428 69740
u 29873 74653
u 88273 14486
u 29057 52498
u 37465 95869
u 98929 54358
q 58848 50499
u 97756 46220
u 85434 82076
u 46765 63861
u 10601 19324
u 90920 81914
u 96016 69944
u 63630 99245
u 44599 83084
u 20353 96592
u 47379 55641
u 14816 34405
u 7476 74581
u 85453 57942
u 3306 31026
q 1816 9427
u 48501 63651
u 3057 29462
q 93891 53059
u 56586 51461
q 65450 81426
u 70021 48745
u 2871 40730
u 9409 53295
u 55857 2043
u 76339 75279
u 98560 61074
u 23726 1494
u 39221 33532
u 94672 66609
u 72179 72349
u 18892 31819
u 64655 93371
u 41947 88550
u 47667 34359
u 69586 49549
u 30456 70241
u 46192 11821
u 28182 39736
u 15134 69189
u 19498 25730
u 23275 54288
u 92945 76235
u 59144 9671
u 40294 2080
u 61712 79104
u 53278 21239
u 62608 27093
u 61816 7115
u 42596 13524
u 54379 64796
u 19270 49868
u 1138 95333
u 94021 39527
u 99600 51600
u 3628 97588
u 30811 20125
u 80255 57283
u 94883 74569
u 64396 55467
u 37823 14925
u 73034 35907
u 29257 35759
q 95580 68008
u 91786 45872
u 99776 87789
u 29583 17018
u 67112 94895
u 11982 58918
u 6294 43401
q 44820 20755
u 57490 63307
q 49782 77717
u 44555 57024
u 36349 85312
u 83103 6586
u 89033 64891
u 60557 16232
q 94362 75464
u 21396 52303
u 48730 30044
u 57722 77820
u 99474 73239
u 96971 78776
u 58641 40616
u 76965 81564
q 38492 56177
u 14476 7393
u 99143 70269
u 84256 64527
u 30576 1416
u 89504 22420
u 14829 19737
u 75630 45814
u 3264 186
u 61102 84474
u 90366 47911
u 9498 45932
u 26733 65999
u 28536 40853
u 51518 41616
u 98929 81913
u 28713 17996
q 49344 3388
q 53661 41259
q 76703 30645
u 45710 1328
u 19923 24348
u 86276 82442
u 43465 50543
u 25135 72218
q 60543 8201
u 91417 54359
q 90601 80744
u 46311 92768
u 70293 33198
u 4037 60811
u 26385 55808
u 85777 79686
u 50811 28698
u 51632 56153
u 35609 45381
u 11988 97950
u 27915 74227
q 2994 50028
u 8632 9303
u 75272 34055
u 25668 46921
u 77034 79900
u 45531 28933
q 77406 29100
u 93674 62748
u 74581 89851
u 57586 34314
u 85023 27446
u 91726 70678
u 77717 27130
q 30256 73278
u 26802 78753
u 96660 85169
u 16248 96271
u 3572 48841
u 88690 23548
u 87642 63844
u 48540 93760
u 51202 15026
u 49973 90595
u 41205 11595
u 51723 28739
q 23275 55386
u 30349 20464
u 27719 6738
u 23923 26432
u 84617 9785
u 73167 34281
u 98153 1645
u 51042 98264
q 89839 90914
u 73457 39561
q 69599 88408
u 59000 21804
u 9376 21802
u 17392 97752
u 74863 37150
u 54017 90840
u 10372 59495
u 78892 74043
u 26398 18490
u 83636 81643
u 68217 53190
u 40357 51483
u 13277 54317
u 50436 97234
u 75048 44690
u 5152 737
u 76225 26815
u 46754 11346
u 70974 65375
u 65606 16596
u 2240 77973
u 60708 18822
q 88304 57260
u 81696 42465
u 29648 50742
u 90967 83784
u 76591 9271
u 69680 34721
q 24398 17498
u 96024 33768
u 26158 25145
u 6522 65323
u 98362 87261
u 42377 82320
u 41164 51560
u 98527 48708
u 51769 35444
u 40236 81921
u 28900 8286
u 69341 22554
u 5125 30618
u 57529 83467
u 60959 69677
q 49906 29330
q 69067 46008
q 17263 63493
u 58183 75456
u 25462 98426
q 71749 79899
u 82826 57744
u 99582 75494
u 91858 73133
u 29807 52166
u 88508 55066
q 14730 23811
u 39126 2349
u 43579 63387
u 16966 85158
u 32387 84262
u 77023 98191
u 85817 48763
u 70817 12833
u 36100 63031
u 31733 96057
u 85260 25950
u 25871 53688
u 74901 58211
u 38922 14311
u 89970 65902
u 87891 16585
u 22581 1193
u 72703 82174
u 88792 29927
u 63483 70321
u 30420 12955
q 67739 59692
q 52063 9936
q 3222 68268
q 93015 74785
q 67875 35343
u 9880 12017
u 69812 91252
q 13309 39123
u 68464 87434
u 37902 5630
u 9451 55845
q 591 77991
u 92051 65391
u 69932 31129
u 48375 53666
u 56551 61739
u 87135 4076
u 88622 90972
u 31545 61002
u 91891 58725
q 21490 74672
u 14917 4188
u 39616 93046
u 56658 52708
u 34952 86678
u 87923 8088
u 98352 77878
u 79482 59194
u 19537 84264
u 81222 43536
u 21442 34954
u 29558 90058
u 53272 79123
u 71414 83047
u 20106 95838
u 31655 36651
q 33687 88677
u 83318 38972
u 94002 9944
q 20255 80666
q 32538 53892
u 73292 34264
u 29566 76459
u 85372 59293
u 83719 24685
u 87298 1782
u 1196 92151
q 27963 85312
u 23684 51329
u 18686 62306
u 63877 83620
u 27193 86203
q 81192 24524
u 46547 66676
u 64400 31327
u 21137 45390
u 83870 64053
u 88276 19708
u 53650 88866
u 77737 52763
u 87661 87295
u 16997 96941
q 3287 94555
u 70783 53293
q 81854 94005
u 74246 96891
u 8851 81649
u 94686 93556
u 44153 82402
q 75621 60835
q 49790 94640
u 11772 88222
q 62757 73402
u 42114 944
u 35476 48649
u 1394 870
u 22805 55373
u 94724 51381
u 30736 39764
u 75110 54661
u 93557 99999
u 80287 49558
u 74676 47757
u 49350 91840
u 33136 37782
q 68158 12488
u 95014 62664
u 58901 30205
u 28078 25353
u 98410 24644
u 41062 81883
u 54353 76043
u 38526 12268
u 54815 20931
u 11539 61069
u 34437 76976
u 80863 13763
u 77344 94484
u 71791 84224
u 73218 50692
q 27707 55939
q 22697 91137
q 9864 50954
u 64698 32759
u 84959 21128
u 60378 47569
u 48386 3964
q 7560 44863
u 24306 42001
u 35967 39953
u 64483 26259
u 23739 73244
u 49748 3712
u 4595 21677
u 71134 30099
u 75032 98560
u 66802 9865
q 47048 61268
u 14620 1378
u 52364 52020
u 44580 61877
u 30422 81921
u 59978 74204
u 76435 33890
u 44973 67628
q 56309 71346
u 17794 75921
q 4739 71453
u 26503 1083
u 30998 25436
u 15988 39770
q 66751 55848
u 26927 89268
q 24512 98875
u 32767 91177
q 91707 66625
u 45317 76966
u 9380 17294
u 1956 8852
u 59186 43034
u 64905 12725
u 1782 27239
u 38277 8390
u 88397 52191
q 57532 88769
u 11975 52682
u 48102 69475
u 51881 26614
u 41098 11246
q 80289 36727
u 2668 31574
u 96758 84647
u 83128 17665
u 53509 96195
u 90192 72976
u 41785 25999
u 95564 88327
q 18802 62654
u 23075 2791
q 7559 49772
q 58822 83375
u 25371 70970
u 11672 24195
q 65920 55217
u 30921 20347
u 2272 55712
u 89242 23754
u 13082 27480
u 20464 67556
u 70930 84024
u 41694 53553
q 68872 84913
u 49644 9692
q 45777 96402
u 4505 97858
u 17241 65772
u 72445 47599
u 29694 92791
u 5784 30287
q 95667 36617
u 83201 44006
u 50822 53563
u 45486 18090
u 73091 55613
u 29315 22566
u 23107 69901
u 84440 95269
u 14899 80996
u 14495 10679
u 2612 1780
u 18851 5992
